DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
2015-11-30,208.32,211.66,202.18,208.69,1924300000.0,0.18,9.48,96215000.0,20
2015-12-31,209.44,211.0,199.83,203.87,2924800000.0,-2.66,11.17,132945455.0,22
2016-01-31,200.49,201.9,181.02,193.72,3712700000.0,-3.38,20.88,195405263.0,19
2016-02-29,192.53,196.68,181.09,193.56,2920700000.0,0.53,15.59,146035000.0,20
2016-03-31,195.01,206.87,194.45,205.52,2323500000.0,5.39,12.42,105613636.0,22
2016-04-30,204.35,210.92,203.09,206.33,1910700000.0,0.97,7.83,90985714.0,21
2016-05-31,206.92,210.69,202.78,209.84,1828500000.0,1.41,7.91,87071429.0,21
2016-06-30,209.12,212.52,198.65,209.48,2612500000.0,0.17,13.87,118750000.0,22
2016-07-31,209.48,217.54,207.06,217.12,1648500000.0,3.65,10.48,82425000.0,20
2016-08-31,217.19,219.6,214.25,217.38,1519600000.0,0.09,5.35,66069565.0,23
2016-09-30,217.37,219.22,212.31,216.3,2292400000.0,-0.49,6.91,109161905.0,21
2016-10-31,215.82,216.7,211.21,212.55,1725600000.0,-1.52,5.49,82171429.0,21
2016-11-30,212.93,221.82,208.38,220.38,2073900000.0,3.5,13.44,98757143.0,21
2016-12-31,220.73,228.34,219.15,223.53,1821700000.0,1.27,9.19,86747619.0,21
2017-01-31,225.04,229.71,223.88,227.53,1482500000.0,1.11,5.83,74125000.0,20
2017-02-28,227.53,237.31,226.82,236.47,1365200000.0,3.93,10.49,71852632.0,19
2017-03-31,238.39,240.32,231.61,235.74,1921600000.0,-1.11,8.71,83547826.0,23
2017-04-30,235.8,239.53,232.51,238.08,1549500000.0,0.97,7.02,81552632.0,19
2017-05-31,238.68,242.08,235.43,241.44,1492500000.0,1.16,6.65,67840909.0,22
2017-06-30,241.97,245.01,239.96,241.8,1572800000.0,-0.07,5.05,71490909.0,22
2017-07-31,242.88,248.0,240.34,246.77,1055900000.0,1.6,7.66,52795000.0,20
2017-08-31,247.46,248.91,241.83,247.49,1556900000.0,0.01,7.08,67691304.0,23
2017-09-30,247.92,251.32,244.95,251.23,1286300000.0,1.34,6.37,64315000.0,20
2017-10-31,251.49,257.89,251.29,257.15,1320700000.0,2.25,6.6,60031818.0,22
